ID,pixel,cm2,STATUS
0,7001.304628632939,1,BENCHMARK
1,24.0,0,PASS
2,6.0,0,PASS
3,145.5,0,PASS
4,61.5,0,PASS
5,6610.5,0,
6,9331.5,0,
7,1033.5,0,
8,8028.0,0,
9,9462.0,0,
10,7620.5,0,
11,16699.5,0,
12,8440.0,0,
13,10664.0,0,
14,12917.5,0,
15,12691.5,0,
16,20.0,0,PASS
17,7.0,0,PASS
18,18.0,0,PASS
19,1.5,0,PASS
20,4.0,0,PASS
21,65.0,0,PASS
22,8.0,0,PASS
23,338.0,0,PASS
24,57.0,0,PASS
25,1.0,0,PASS
26,2.5,0,PASS
27,13114.0,0,
28,280.5,0,PASS
29,606.0,0,
30,112.5,0,PASS
31,14753.0,0,
32,168.0,0,PASS
33,17311.0,0,
34,13183.0,0,
35,1970.0,0,
36,180.0,0,PASS
37,168.0,0,PASS
38,11297.5,0,
39,0.0,0,PASS
40,7037.5,0,
41,10671.5,0,
42,0.0,0,PASS
43,7724.0,0,
44,11.0,0,PASS
45,14706.0,0,
46,20.5,0,PASS
47,26.0,0,PASS
48,6845.5,0,
49,0.5,0,PASS
50,8696.0,0,
51,320.5,0,PASS
52,11945.5,0,
53,8739.0,0,
54,6713.0,0,
55,9287.0,0,
56,163.5,0,PASS
57,18461.0,0,
58,16841.5,0,
59,19300.0,0,
60,20335.5,0,
61,27.5,0,PASS
62,15247.5,0,
63,211.5,0,PASS
64,22036.5,0,
65,15870.0,0,
66,20191.5,0,
67,8179.0,0,
68,13873.5,0,
69,15063.5,0,
70,25444.5,0,
71,18137.0,0,
72,20131.5,0,
73,0.5,0,PASS
73,finded,42,filtered
